model_type,order,seasonal_order,rmse,mape,aic
SARIMA,"(2, 1, 1)","(1, 1, 1, 7)",1191.458690018867,0.340471004568317,24880.744820568354
SARIMA,"(1, 1, 2)","(1, 1, 1, 7)",1194.3289423213114,0.3414901843847029,24880.46478232116
SARIMA,"(0, 1, 2)","(1, 1, 1, 7)",1194.5340760704519,0.3415622402092075,24880.344430357636
SARIMA,"(2, 1, 0)","(1, 1, 1, 7)",1194.814010862025,0.3416638078546701,24880.608293363577
SARIMA,"(2, 1, 2)","(1, 1, 1, 7)",1195.1291819724365,0.34174647473820213,24893.52289313617
SARIMA,"(1, 1, 1)","(1, 1, 1, 7)",1195.1623633396778,0.3417894109573054,24880.75744342995
SARIMA,"(1, 1, 0)","(1, 1, 1, 7)",1195.520058152354,0.3419175470409575,24878.936814027373
SARIMA,"(0, 1, 1)","(1, 1, 1, 7)",1195.7112236435064,0.3419865101435149,24879.219684396623
SARIMA,"(0, 1, 0)","(1, 1, 1, 7)",1196.4134948060519,0.34213616137872394,24885.91885734407
SARIMA,"(1, 1, 1)","(1, 1, 1, 30)",1218.2470299172514,0.34976996693338286,24696.68633615743
SARIMA,"(2, 1, 1)","(1, 1, 1, 30)",1218.8065900843917,0.3499737262734159,24698.944450297422
SARIMA,"(1, 1, 2)","(1, 1, 1, 30)",1218.8085916796674,0.3499739731695663,24698.68887614167
SARIMA,"(2, 1, 2)","(1, 1, 1, 30)",1219.1050087115123,0.35006644939368875,24681.845884071692
SARIMA,"(0, 1, 2)","(1, 1, 1, 30)",1219.1135847070814,0.3500848713399279,24697.610154306254
SARIMA,"(0, 1, 0)","(1, 1, 1, 30)",1219.1936755897186,0.3501118238177482,24704.06285214723
SARIMA,"(2, 1, 0)","(1, 1, 1, 30)",1219.1980148938599,0.35011578169758084,24697.746832866615
SARIMA,"(1, 1, 0)","(1, 1, 1, 30)",1219.4093983674468,0.3501905996931116,24695.851727625
SARIMA,"(0, 1, 1)","(1, 1, 1, 30)",1219.979315516775,0.3503748692225977,24696.09336396596
ARIMA,"(2, 1, 1)",,1334.6183247435358,0.3901765963670884,24913.990098836533
ARIMA,"(2, 1, 2)",,1336.5853790476206,0.3909471108648095,24895.257359053707
ARIMA,"(0, 1, 0)",,1336.8456439647132,0.39104996831213606,24919.08120187262
ARIMA,"(0, 1, 2)",,1337.2908749251042,0.39122704612086656,24913.370082117894
ARIMA,"(1, 1, 2)",,1337.3610680396455,0.3912541195248776,24913.173531269586
ARIMA,"(2, 1, 0)",,1337.556535722178,0.3913321204332295,24913.61422076242
ARIMA,"(1, 1, 1)",,1337.895428957423,0.3914662913880532,24913.756895344755
ARIMA,"(1, 1, 0)",,1338.1751474018768,0.3915770807106491,24911.920338057316
ARIMA,"(0, 1, 1)",,1338.3458120468442,0.39164462150492446,24912.206458537716
SARIMAX,"(2, 1, 1)",,1377.1678215303707,0.4035558105097938,24856.51497928117
SARIMAX,"(1, 1, 2)",,1382.8951575996944,0.40581148977816356,24856.54227913498
SARIMAX,"(0, 1, 2)",,1382.9832996600385,0.4058468873742117,24854.659620822484
SARIMAX,"(2, 1, 0)",,1383.0395732954491,0.4058694979294804,24854.78079741697
SARIMAX,"(2, 1, 2)",,1383.0624311305949,0.40587904197021774,24858.672245416594
SARIMAX,"(0, 1, 0)",,1383.667764879693,0.4061222315063647,39373.224266443125
SARIMAX,"(1, 1, 1)",,1383.875674819694,0.4062060667622767,24855.34603963511
SARIMAX,"(1, 1, 0)",,1384.266764162911,0.40636362595565584,24853.999861207318
SARIMAX,"(0, 1, 1)",,1384.3497611342818,0.40639703735046706,24854.194978631207
